,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
297,Mundo Nuevo,MX,18.7,-95.5,83.57,74,15,7.18,few clouds
298,Tessalit,ML,20.1986,1.0114,88.61,40,99,17.29,overcast clouds
299,Mikkeli,FI,61.6886,27.2723,70.14,64,0,0.0,clear sky
300,Sao Filipe,CV,14.8961,-24.4956,74.32,74,98,8.3,overcast clouds
301,Mana,GF,5.6592,-53.7767,80.26,75,97,4.88,overcast clouds
302,Igarka,RU,67.4667,86.5833,54.46,96,61,2.71,broken clouds
303,Colonelganj,IN,27.1333,81.7,85.95,73,100,6.4,overcast clouds
304,Saskylakh,RU,71.9167,114.0833,53.91,74,71,11.21,broken clouds
305,Sawtell,AU,-30.3833,153.1,42.19,90,0,5.75,clear sky
306,Chapais,CA,49.7834,-74.8492,64.18,46,83,10.98,broken clouds
307,Porto Novo,BJ,6.4965,2.6036,78.62,75,6,9.64,clear sky
308,Bluff,NZ,-46.6,168.3333,47.8,87,100,6.17,moderate rain
309,Vila,PT,42.0304,-8.1588,66.22,78,34,5.08,scattered clouds
310,Geraldton,AU,-28.7667,114.6,49.12,87,0,12.66,clear sky
311,Moura,PT,38.1401,-7.4486,77.11,53,93,12.35,overcast clouds
312,Palana,RU,59.1167,159.9667,51.66,94,100,10.98,overcast clouds
313,Pocone,BR,-16.2567,-56.6228,98.4,17,2,7.99,clear sky
314,Evensk,RU,61.95,159.2333,48.58,99,100,7.7,moderate rain
315,Buala,SB,-8.145,159.5921,79.21,84,21,7.34,few clouds
316,Shirokiy,RU,49.758,129.523,65.93,95,100,7.14,overcast clouds
317,Lannion,FR,48.75,-3.4167,68.41,94,75,9.22,broken clouds
318,Tokur,RU,53.1333,132.9,56.07,96,65,3.2,broken clouds
319,Loiza,PR,18.4313,-65.8802,88.81,88,75,0.0,thunderstorm
320,Portland,US,45.5234,-122.6762,84.52,53,1,1.01,clear sky
321,Oistins,BB,13.0667,-59.5333,87.89,70,75,17.27,broken clouds
322,Narsaq,GL,60.9167,-46.05,59.22,51,71,3.76,broken clouds
323,Dikson,RU,73.5069,80.5464,39.25,86,100,13.73,overcast clouds
324,Lasa,IT,46.6166,10.7002,67.08,88,71,3.11,broken clouds
325,Mersing,MY,2.4312,103.8405,78.71,94,7,5.75,clear sky
326,Angoram,PG,-4.0625,144.0661,69.19,100,82,2.19,broken clouds
327,Adrar,MR,20.5022,-10.0711,104.68,7,24,8.68,few clouds
328,Jalu,LY,29.0331,21.5482,87.76,24,0,7.9,clear sky
329,Tautira,PF,-17.7333,-149.15,78.82,69,0,10.51,clear sky
330,Yining,CN,29.0361,114.5636,75.34,90,6,2.1,clear sky
331,Karratha,AU,-20.7377,116.8463,69.4,47,10,6.33,clear sky
332,Svetlogorsk,BY,52.6333,29.7333,67.57,64,57,5.75,broken clouds
333,Sangar,RU,63.9242,127.4739,56.57,73,5,3.8,clear sky
334,Lodja,CD,-3.4833,23.4333,82.49,28,91,2.44,overcast clouds
335,Myitkyina,MM,25.3833,97.4,74.07,99,100,1.12,overcast clouds
336,Riverton,US,40.5219,-111.9391,96.04,24,1,5.01,clear sky
337,Najran,SA,17.4924,44.1277,88.45,27,80,7.65,broken clouds
338,Aksarka,RU,66.5606,67.7975,44.69,82,1,13.31,clear sky
339,Pinega,RU,64.7001,43.3936,46.78,84,80,3.2,broken clouds
340,Dire Dawa,ET,9.5931,41.8661,69.78,58,100,11.34,overcast clouds
341,Baiyin,CN,36.5583,104.2081,63.48,76,100,10.16,moderate rain
342,Yarada,IN,17.65,83.2667,84.52,89,40,2.3,mist
343,Tabat,ID,-2.635,115.2274,70.12,91,0,1.34,clear sky
344,Lagoa,PT,39.05,-27.9833,70.07,80,100,12.33,overcast clouds
345,Moyobamba,PE,-6.05,-76.9667,87.69,35,33,0.78,scattered clouds
346,Tual,ID,-5.6667,132.75,79.65,79,32,18.84,scattered clouds
